productsView_link__xrJmL href,z-[-1] src,group-hover,productsView_itemNumber__E_AK5,productsView_priceRange__tnOfl,productsView_savingStory__2gAxy,sr-only,w-4 href,text-xs,sr-only 2,productsView_description__lNG3J,calculateLength__toggle,svg')],sr-only 3,AddToCartButton_add_to_cart_button__qGnJz,lazyload src,lazyload src 2
https://www.dickblick.com/products/blick-studio-light-duty-h-frame-easel/,https://images.ctfassets.net/f1fikihmjtrp/2KMvoDMsYGB9NBXEVAsrqQ/8bf4857eab33a168896ce55af41c67c9/51753-1020-4ww.jpg?q=80&w=190&h=190,Blick Studio Light-Duty H-Frame Easel,Item #: 51753,$234.63 ,SAVE 23% off List!,4.6 out of 5 stars,[object Object],-308,number of reviews,"Finely handcrafted of smooth, sanded beechwood, the Blick Studio Light-Duty H-Frame Easel is equipped with an adjustable-height mast tilts back up to ...",#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/blick-studio-table-easel-by-jullian/,https://images.ctfassets.net/f1fikihmjtrp/4Fob5bakNdPyqi9TS0TU6n/d298337b8fd2b87663203e0aa8705823/50577-1001-3-4ww.jpg?q=80&w=190&h=190,Blick Studio Table Easel by Jullian,Item #: 50577,$26.99 ,,4.6 out of 5 stars,[object Object],-115,number of reviews,"Simple, sturdy, and adjustable, the Blick Studio Table Easel by Jullian is an all-purpose studio staple. Set up this convenient table easel on any fla...",#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/jullian-table-easels/,https://images.ctfassets.net/f1fikihmjtrp/5BLY0Ik139aISeYwNDBfr8/a77edea56a22c063af27b0595fe46824/50387-1002-3ww-l.jpg?q=80&w=190&h=190,Jullian Table Easels,Item #: 50387,$19.99 - $71.99,SAVE 20% off List!,4.6 out of 5 stars,[object Object],-44,number of reviews,"These small easels are miniature replicas of Jullian's Studio easels, especially created for table painting. Made of oiled beechwood, they're ideal fo...",#NAME?,,,,,
https://www.dickblick.com/products/meeden-deluxe-heavy-duty-multi-function-easel/,https://images.ctfassets.net/f1fikihmjtrp/3o69LI50stHkGMAj9cm5yO/06311253aa64d71454845643df662766/83540-2100-M-4ww.jpg?q=80&w=190&h=190,Meeden Deluxe Heavy-Duty Multi-Function Easel,Item #: 83540,$248.36 ,SAVE up to 10% off List!,5 out of 5 stars,[object Object],,,Create your next masterpiece with an easel that moves with you! Meeden’s Deluxe Heavy-Duty Multi-Function Easel is built for large-scale artwork up to...,#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/testrite-500-aluminum-easel/,https://images.ctfassets.net/f1fikihmjtrp/3vsh2DoPj5fFubOZ2ujA5y/7e15df97087eb40109816df2e3b569c2/50207-0500-3ww-l.jpg?q=80&w=190&h=190,Testrite #500 Aluminum Easel,Item #: 50207,$53.89 - $147.73,SAVE up to 34% off List!,4.7 out of 5 stars,[object Object],-45,number of reviews,"""Autolock"" feature anchors top of canvas. 21"" wide tray securely holds canvases up to 48"" high. 69"" high easel folds flat to 52"". Aluminum Easel Exten...",#NAME?,,,,,
https://www.dickblick.com/products/blick-aluminum-tabletop-easel/,https://images.ctfassets.net/f1fikihmjtrp/1wZpvRkvOxF9ahkOrrFFQz/bf0e47353d7cc6b3294618e5d7ae878c/50393-1011-M-4ww.jpg?q=80&w=190&h=190,Blick by Jullian Aluminum Tabletop Easel,Item #: 50393,$13.75 ,SAVE 16% off List!,4.6 out of 5 stars,[object Object],-91,number of reviews,"The Blick Studio Aluminum Table Easel by Jullian opens instantly, collapses to fit in any backpack or carry bag, and features adjustable arms that fol...",#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/blick-noir-french-easel-by-jullian/,https://images.ctfassets.net/f1fikihmjtrp/1K4emJ6llQf7DhlC0kskFI/5e93954580578dbd49124d8c3e06030c/49813-Group-4ww.jpg?q=80&w=190&h=190,Blick Noir French Easel by Jullian,Item #: 49813,$120.99 ,SAVE 43% off List!,4.2 out of 5 stars,[object Object],-56,number of reviews,"This striking easel is made from premium stained pinewood and features a lightweight, easy-to-carry design. It provides ample storage for accessories ...",#NAME?,"Out of Stock, Expected 07/23",,Add to Cart,,
https://www.dickblick.com/products/new-wave-u-go-tripod/,https://images.ctfassets.net/f1fikihmjtrp/1QEJvTLDnh6M0FslfoSC2j/e43a8d8533440fd30a6dee8d2dad2e9a/80498-1001-M-4ww.jpg?q=80&w=190&h=190,New Wave u.go Tripod,Item #: 80498,$153.14 ,SAVE 17% off List!,4.5 out of 5 stars,[object Object],,,"Perfect for plein air painting, the New Wave u.go Tripod is lightweight (just 2.9 lb), compact, and easy to transport. This sturdy tripod is made of a...",#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/american-easel-oak-tabletop-easel/,https://images.ctfassets.net/f1fikihmjtrp/5QNDY8OkoHbtiejYEVMXvu/79f8341590840cbbb978e7ed8ac9b805/51645-0000-3ww-l.jpg?q=80&w=190&h=190,American Easel Oak Tabletop Easel,Item #: 51645,$103.97 ,SAVE 47% off List!,4.8 out of 5 stars,[object Object],-50,number of reviews,"This solid oak easel has a mast that adjusts from 30"" to 45"" (76 cm to 114 cm) high. Assembly is easy! Just slide the mast into the grooves, and slide...",#NAME?,In stock online,,Add to Cart,,
,,,,,,,,,,,,,,,,
